imdb_id,title,release_date,original_language,genres,runtime,vote_average,overview,primaryName,primaryProfession
tt0099237,Challenger,1990-02-25,en,"['Drama', 'TV Movie']",140,6.5,"A profile of the astronauts, crew, and civilians who were involved in the January 28, 1986 flight of the spaceship, Challenger, that resulted in its explosion upon takeoff. The center point of the film is the safety inspections and arguments surrounding the use of the o-rings that ultimately were blamed for the explosion.",Karen Allen,"actress,director,soundtrack"
tt0099237,Challenger,1990-02-25,en,"['Drama', 'TV Movie']",140,6.5,"A profile of the astronauts, crew, and civilians who were involved in the January 28, 1986 flight of the spaceship, Challenger, that resulted in its explosion upon takeoff. The center point of the film is the safety inspections and arguments surrounding the use of the o-rings that ultimately were blamed for the explosion.",Barry Bostwick,"actor,producer,soundtrack"
tt0111689,What Happened Was...,1994-09-09,en,"['Comedy', 'Drama', 'Romance']",91,7.154,Jackie and Michael are coworkers at a large law firm. They decide to meet at Jackie's for dinner one night.,Tom Noonan,"actor,writer,director"
tt0111689,What Happened Was...,1994-09-09,en,"['Comedy', 'Drama', 'Romance']",91,7.154,Jackie and Michael are coworkers at a large law firm. They decide to meet at Jackie's for dinner one night.,Karen Sillas,actress
tt0072852,The Deadly Tower,1975-10-18,en,"['Drama', 'Thriller', 'Action', 'TV Movie']",100,6.4,"The real-life story of Charles Whitman's deadly shooting spree at the University of Texas is retold.  In August 1966, after killing his wife and mother, Whitman climbed to the top of the school's tower and opened fire on passers-by, killing 13 and wounding many others.",Kurt Russell,"actor,producer,writer"
tt0072852,The Deadly Tower,1975-10-18,en,"['Drama', 'Thriller', 'Action', 'TV Movie']",100,6.4,"The real-life story of Charles Whitman's deadly shooting spree at the University of Texas is retold.  In August 1966, after killing his wife and mother, Whitman climbed to the top of the school's tower and opened fire on passers-by, killing 13 and wounding many others.",Richard Yniguez,"actor,director,miscellaneous"
tt0073454,The Night That Panicked America,1975-10-31,en,"['Drama', 'TV Movie']",92,7.3,"A dramatization of the Oct. 30, 1938 mass panic that Orson Welles' radio play, ""The War of the Worlds"" accidentally provoked.",Vic Morrow,"actor,director,writer"
tt0073454,The Night That Panicked America,1975-10-31,en,"['Drama', 'TV Movie']",92,7.3,"A dramatization of the Oct. 30, 1938 mass panic that Orson Welles' radio play, ""The War of the Worlds"" accidentally provoked.",Cliff De Young,"actor,soundtrack,archive_footage"
tt0090069,Static,1985-10-01,en,"['Comedy', 'Drama']",93,6.1,"Ernie Blick has just lost his job at a crucifix factory. Luckily, for Ernie, this allows him more time to devote to his invention. Yes, Ernie is an inventor -- and he's come up with something big. So big, in fact, Ernie's convinced it will change the way people look at life and death. With the support of his drummer friend Julia and his ex-Green Beret-evangelist cousin, Ernie unveils it to the world. But even he isn't prepared for the public's reaction.",Keith Gordon,"director,actor,producer"
tt0090069,Static,1985-10-01,en,"['Comedy', 'Drama']",93,6.1,"Ernie Blick has just lost his job at a crucifix factory. Luckily, for Ernie, this allows him more time to devote to his invention. Yes, Ernie is an inventor -- and he's come up with something big. So big, in fact, Ernie's convinced it will change the way people look at life and death. With the support of his drummer friend Julia and his ex-Green Beret-evangelist cousin, Ernie unveils it to the world. But even he isn't prepared for the public's reaction.",Amanda Plummer,"actress,writer,archive_footage"
